exchange,product,count,optional,section
SHFE,au,4,1,21:00;02:30;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,ag,4,1,21:00;02:30;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,cu,4,1,21:00;01:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,al,4,1,21:00;01:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,zn,4,1,21:00;01:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,pb,4,1,21:00;01:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,ni,4,1,21:00;01:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,sn,4,1,21:00;01:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,rb,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,wr,3,0,09:00;10:15;10:30;11:30;13:30;15:00
SHFE,hc,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,ss,4,1,21:00;01:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,fu,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,bu,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,ru,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
SHFE,sp,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,c,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,cs,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,a,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,b,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,m,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,y,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,p,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,fb,3,0,09:00;10:15;10:30;11:30;13:30;15:00
DCE,bb,3,0,09:00;10:15;10:30;11:30;13:30;15:00
DCE,jd,3,0,09:00;10:15;10:30;11:30;13:30;15:00
DCE,rr,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,lh,3,0,09:00;10:15;10:30;11:30;13:30;15:00
DCE,l,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,v,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,pp,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,eg,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,eb,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,pg,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,j,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,jm,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
DCE,i,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,WH,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,PM,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,RI,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,JR,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,LR,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,OI,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,RS,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,RM,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,CF,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,CY,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,SR,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,AP,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,CJ,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,PK,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,ZC,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,SF,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,SM,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,TA,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,MA,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,UR,3,0,09:00;10:15;10:30;11:30;13:30;15:00
CZCE,SA,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,FG,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
CZCE,PF,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
INE,sc,4,1,21:00;02:30;09:00;10:15;10:30;11:30;13:30;15:00
INE,lu,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
INE,nr,4,1,21:00;23:00;09:00;10:15;10:30;11:30;13:30;15:00
INE,bc,4,1,21:00;01:00;09:00;10:15;10:30;11:30;13:30;15:00
CFFEX,IC,2,0,09:30;11:30;13:00;15:00
CFFEX,IF,2,0,09:30;11:30;13:00;15:00
CFFEX,IH,2,0,09:30;11:30;13:00;15:00
